scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-F-ThC,R-F-ThC,R-F-CTr,R-F-CTr,R-F-FeTi,R-F-FeTi,R-F-TiTa,R-F-TiTa,R-F-TaG,R-F-TaG
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N3_A-07032022200219-0000,img052.png,938.4207991133596,553.9709994600585,850.9502827588171,650.6489385887635,976.7850606723696,633.7686635027991,1028.9604563926232,761.1380118787121,1117.9655432095262,885.4382193299042
labeled-data,BPN_N3_A-07032022200219-0000,img054.png,937.65557451479,537.5546108054415,863.89115571424,651.8894599462942,992.9788886152028,640.8247971262117,1042.769871305574,769.29782653717,1126.9842494362022,875.0268268179585
labeled-data,BPN_N3_A-07032022200219-0000,img055.png,937.65557451479,537.5546108054415,870.0381906142858,652.5041634362988,996.6671095552302,643.8983145762347,1047.0727957356062,771.7566404971883,1133.131284336248,876.8709372879723
labeled-data,BPN_N3_A-07032022200219-0000,img069.png,937.65557451479,537.5546108054415,885.4057778644004,673.4040820964547,1020.640545665409,686.9275588765556,1078.42267372584,821.5476231875597,1179.8487495765962,932.8089548783896
labeled-data,BPN_N3_A-07032022200219-0000,img084.png,937.65557451479,537.5546108054415,918.0122429369742,673.1334350291586,1094.8338100256578,642.5979836845265,1077.7907674147004,753.37776065575,1174.3680088767924,860.6069037496906
labeled-data,BPN_N3_A-07032022200219-0000,img095.png,937.65557451479,537.5546108054415,930.0843981197357,689.4663508646595,1082.0515280674397,709.3499005774432,1175.7882624277056,812.3182830186445,1307.8718426626258,906.0550173789104
labeled-data,BPN_N3_A-07032022200219-0000,img108.png,937.65557451479,537.5546108054415,902.3894538769298,683.785336661007,1055.0667106000903,624.1346875226559,1074.2401335374175,756.9283945330326,1185.0199105086408,883.3309605643004
labeled-data,BPN_N3_A-07032022200219-0000,img111.png,937.65557451479,537.5546108054415,886.7666648168855,677.3941956818978,1032.3426537854803,604.2511378098723,1037.3135412136762,723.5524360865743,1135.3110362266816,850.6651288932986
labeled-data,BPN_N3_A-07032022200219-0000,img118.png,937.65557451479,537.5546108054415,876.1147631850372,656.0903924182011,962.7502297907374,558.8030241806523,957.7793423625416,671.7131814782454,1020.9806253781754,793.8549868567738
labeled-data,BPN_N3_A-07032022200219-0000,img126.png,937.65557451479,537.5546108054415,925.8236374669964,688.0460973137463,1084.1819083938094,697.9878721701382,1134.600909451225,827.2309453032321,1249.641447075188,941.5613561517383
labeled-data,BPN_N3_A-07032022200219-0000,img129.png,937.65557451479,537.5546108054415,930.0843981197357,683.785336661007,1081.341401291983,664.6119137236799,1116.8477400648112,793.8549868567738,1229.0477705869475,913.8664119089325
labeled-data,BPN_N3_A-07032022200219-0000,img138.png,937.65557451479,537.5546108054415,889.6071719187119,666.0321672745929,996.8363150126524,573.0055596897835,996.1261882371958,700.1182524965079,1092.7034296992879,829.3613256296019
labeled-data,BPN_N3_A-07032022200219-0000,img148.png,937.65557451479,537.5546108054415,866.1729883286453,659.6410262954839,896.7084396732773,528.9776996114769,943.5768068534103,645.4384907863528,968.4312439943901,783.9132120003819
labeled-data,BPN_N3_A-07032022200219-0000,img159.png,937.65557451479,537.5546108054415,900.2590735505602,676.6840689064413,1047.2553160700681,623.4245607471994,1069.2692461092215,754.798014206663,1153.0642056130955,878.3600731361045
labeled-data,BPN_N3_A-07032022200219-0000,img160.png,937.65557451479,537.5546108054415,905.9400877542125,673.1334350291586,1040.1540483155027,612.0625323398943,1057.9072177019166,742.7258590239014,1145.96293785853,870.5486786060824
