scorer,,,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab,BidayeLab
bodyparts,,,R-M-ThC,R-M-ThC,R-M-CTr,R-M-CTr,R-M-FeTi,R-M-FeTi,R-M-TiTa,R-M-TiTa,R-M-TaG,R-M-TaG
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,BPN_N1_A-07032022194818-0000,img051.png,,,714.3735116087419,575.454985933104,766.5489073289953,498.72646281508423,792.6366051891221,673.6674955241695,858.6231350706191,831.7282531472904
labeled-data,BPN_N1_A-07032022194818-0000,img062.png,765.014336866635,487.9844695785615,,,725.1996738498681,486.9075259043335,705.2073859745926,658.2699934066948,677.5989884325456,824.8723923673235
labeled-data,BPN_N1_A-07032022194818-0000,img087.png,765.014336866635,487.9844695785615,713.7755093497108,576.3968144889,691.8791940577423,516.4199508630735,643.3264949320735,682.070336115356,579.5415764728612,822.0163512422843
labeled-data,BPN_N1_A-07032022194818-0000,img098.png,765.014336866635,487.9844695785615,720.4396053081359,571.6367459471676,745.1919617251435,482.14745736260124,747.0959891418365,663.9820756567734,754.7120988086081,834.3925294507881
labeled-data,BPN_N1_A-07032022194818-0000,img108.png,765.014336866635,487.9844695785615,711.8714819330178,574.492787072207,689.9751666410496,504.0437726545696,638.5664263903411,659.2220071150412,560.5013023059323,811.5442004504732
labeled-data,BPN_N1_A-07032022194818-0000,img112.png,,,722.3436327248289,580.2048693222857,766.1362633087656,490.7155807377194,851.8174970599462,623.9974999062224,967.0111557698667,728.719007824332
labeled-data,BPN_N1_A-07032022194818-0000,img123.png,765.014336866635,487.9844695785615,,,723.2956464331753,487.85953961268,704.2553722662462,663.9820756567734,683.3110706826244,838.2005842841738
labeled-data,BPN_N1_A-07032022194818-0000,img128.png,765.014336866635,487.9844695785615,711.8714819330178,575.4448007805535,691.8791940577423,514.5159234463806,639.5184400986877,678.2622812819702,563.3573434309715,845.8166939509455
labeled-data,BPN_N1_A-07032022194818-0000,img132.png,765.014336866635,487.9844695785615,722.3436327248289,582.1088967389786,779.4644552256159,515.4679371547271,851.8174970599462,676.3582538652772,942.2587993528589,822.0163512422843
labeled-data,BPN_N1_A-07032022194818-0000,img144.png,765.014336866635,487.9844695785615,,,726.1516875582147,495.47564927945155,705.2073859745926,669.6941579068521,686.1671118076638,842.0086391175597
labeled-data,BPN_N1_A-07032022194818-0000,img168.png,765.014336866635,487.9844695785615,715.6795367664038,576.3968144889,710.9194682246714,509.75585490464834,672.8389198908135,685.8783909487418,629.0462893068766,853.4328036177171
labeled-data,BPN_N1_A-07032022194818-0000,img169.png,765.014336866635,487.9844695785615,709.967454516325,572.5887596555142,699.4953037245141,509.75585490464846,660.4627416823096,681.1183224070095,609.0540014316011,855.33683103441
labeled-data,BPN_N1_A-07032022194818-0000,img174.png,765.014336866635,487.9844695785615,715.6795367664038,578.3008419055928,734.7198109333326,484.05148477929424,755.6641125169547,629.7095821563012,775.6564003922301,762.9915013248043
labeled-data,BPN_N1_A-07032022194818-0000,img203.png,765.014336866635,487.9844695785615,718.5355778914429,585.9169515723645,788.0325786007338,582.1088967389786,856.5775656016783,740.1431723244895,956.5390049780556,897.2254342016538
labeled-data,BPN_N1_A-07032022194818-0000,img206.png,765.014336866635,487.9844695785615,713.7755093497108,584.0129241556715,772.8003592671907,559.2605677386638,826.113126934592,723.9589392825998,902.274223602308,879.1371737430713
labeled-data,BPN_N1_A-07032022194818-0000,img207.png,765.014336866635,487.9844695785615,712.8234956413644,582.1088967389786,768.0402907254584,549.7404306551992,814.6889624344346,719.1988707408675,881.3299220186861,881.9932148681106
labeled-data,BPN_N1_A-07032022194818-0000,img215.png,765.014336866635,487.9844695785615,709.967454516325,576.3968144889,742.3359206001044,511.65988232134123,751.8560576835687,678.2622812819702,775.6564003922301,848.6727350759849
labeled-data,BPN_N1_A-07032022194818-0000,img223.png,765.014336866635,487.9844695785615,,,725.1996738498681,500.2357178211838,709.967454516325,677.3102675736237,689.9751666410496,845.8166939509455
labeled-data,BPN_N1_A-07032022194818-0000,img224.png,765.014336866635,487.9844695785615,734.7198109333326,568.7807048221283,717.5835641830965,496.42766298779804,697.5912763078211,673.5022127402378,671.8869061824669,834.3925294507881
labeled-data,BPN_N1_A-07032022194818-0000,img238.png,765.014336866635,487.9844695785615,717.5835641830965,580.2048693222857,761.3761947670332,516.4199508630736,790.8886197257734,688.734432073781,848.0094422265604,860.0968995761423
labeled-data,BPN_N1_A-07032022194818-0000,img263.png,765.014336866635,487.9844695785615,715.6795367664038,580.2048693222857,767.088277017112,524.0360605298451,843.249373684828,668.7421441985057,944.1628267695519,742.0471997411823
labeled-data,BPN_N1_A-07032022194818-0000,img278.png,765.014336866635,487.9844695785615,,,727.1037012665611,522.1320331131523,717.5835641830965,703.9666514073243,723.2956464331753,862.9529407011817
labeled-data,BPN_N1_A-07032022194818-0000,img283.png,765.014336866635,487.9844695785615,723.2956464331753,576.3968144888998,705.2073859745926,554.5004991969315,684.2630843909708,722.0549118659069,669.9828787657741,877.2331463263783
labeled-data,BPN_N1_A-07032022194818-0000,img284.png,765.014336866635,487.9844695785615,,,703.3033585578999,553.5484854885851,680.455029557585,718.2468570325211,665.2228102240417,873.4250914929926
labeled-data,BPN_N1_A-07032022194818-0000,img305.png,765.014336866635,487.9844695785615,,,696.6392625994747,540.2202935717348,669.9828787657741,713.4867884907889,652.846632015538,870.5690503679532
labeled-data,BPN_N1_A-07032022194818-0000,img313.png,765.014336866635,487.9844695785615,713.7755093497108,576.3968144889,680.455029557585,516.4199508630735,627.1422618901838,650.653883739923,546.2210966807354,780.1277480750405
labeled-data,BPN_N1_A-07032022194818-0000,img321.png,765.014336866635,487.9844695785615,717.5835641830965,581.1568830306321,753.7600851002617,543.0763346967741,777.5604278089229,714.4388021991354,816.5929898511274,874.377105201339
labeled-data,BPN_N1_A-07032022194818-0000,img322.png,765.014336866635,487.9844695785615,714.7275230580572,580.2048693222857,747.0959891418365,537.3642524466954,762.3282084753798,707.7747062407102,794.696674559159,863.904954409528
labeled-data,BPN_N1_A-07032022194818-0000,img337.png,765.014336866635,487.9844695785615,715.6795367664038,578.3008419055928,663.318782807349,564.9726499887425,599.5338643481366,720.150884449214,505.2845072218381,886.7532834098429
labeled-data,BPN_N1_A-07032022194818-0000,img344.png,765.014336866635,487.9844695785615,716.6315504747502,583.0609104473251,772.8003592671907,545.9323758218135,847.0574285182138,707.7747062407102,919.410470352544,822.9683649506308
labeled-data,BPN_N1_A-07032022194818-0000,img348.png,765.014336866635,487.9844695785615,709.967454516325,582.1088967389786,756.6161262253011,564.020636280396,798.504729392545,727.7669941159857,843.249373684828,886.7532834098429
labeled-data,BPN_N1_A-07032022194818-0000,img352.png,765.014336866635,487.9844695785615,710.9194682246714,580.2048693222857,749.9520302668759,535.4602250300026,774.7043866838835,704.9186651156708,805.1688253509701,847.7207213676384
labeled-data,BPN_N1_A-07032022194818-0000,img388.png,765.014336866635,487.9844695785615,,,732.8157835166398,497.37967669614454,729.0077286832541,671.5981853235451,748.0480028501829,845.8166939509455
labeled-data,BPN_N1_A-07032022194818-0000,img393.png,765.014336866635,487.9844695785615,,,708.063427099632,537.3642524466954,679.5030158492386,707.7747062407102,660.4627416823096,873.4250914929926
labeled-data,BPN_N1_A-07032022194818-0000,img403.png,765.014336866635,487.9844695785615,720.4396053081359,577.3488281972463,764.2322358920726,518.3239782797664,854.6735381849855,641.1337466564586,956.5390049780556,725.8629666992927
labeled-data,BPN_N1_A-07032022194818-0000,img408.png,765.014336866635,487.9844695785615,717.5835641830965,577.3488281972463,749.0000165585295,502.1397452378767,780.4164689339623,668.7421441985057,811.8329213093953,829.6324609090559
